container,pid,model,title,identifier,createdDate,description,rdf_downloaded,tei_downloaded,lido_downloaded,image_downloaded
karteikarten,info:fedora/o:km.5,info:fedora/cm:TEI,Karteikarte KM-KK.5,o:km.5,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.4,info:fedora/cm:TEI,Karteikarte KM-KK.4,o:km.4,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.2,info:fedora/cm:TEI,Karteikarte KM-KK.2,o:km.2,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.1,info:fedora/cm:TEI,Karteikarte KM-KK.1,o:km.1,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.6,info:fedora/cm:TEI,Karteikarte KM-KK.6,o:km.6,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.8,info:fedora/cm:TEI,Karteikarte KM-KK.8,o:km.8,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.9,info:fedora/cm:TEI,Karteikarte KM-KK.9,o:km.9,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.3,info:fedora/cm:TEI,Karteikarte KM-KK.3,o:km.3,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.7,info:fedora/cm:TEI,Karteikarte KM-KK.7,o:km.7,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.11,info:fedora/cm:TEI,Karteikarte KM-KK.11,o:km.11,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.13,info:fedora/cm:TEI,Karteikarte KM-KK.13,o:km.13,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.12,info:fedora/cm:TEI,Karteikarte KM-KK.12,o:km.12,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.16,info:fedora/cm:TEI,Karteikarte KM-KK.16,o:km.16,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.10,info:fedora/cm:TEI,Karteikarte KM-KK.10,o:km.10,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.18,info:fedora/cm:TEI,Karteikarte KM-KK.18,o:km.18,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
karteikarten,info:fedora/o:km.15,info:fedora/cm:TEI,Karteikarte KM-KK.15,o:km.15,2016,"Digitale Basiserschließung aller Karteikarten des Kriminalmuseums
                                    und Tiefenerschließung des Teilbestandes zu Wilderei im Rahmen
                                    des EuroMACHS-Abschlussprojektes.",True,True,False,True
